pair_a,pair_b,n_detections,first_seen,last_seen,mean_rssi,best_rssi
Lotus,ShooShoo,2,2025-04-24 06:56:52+00:00,2025-04-24 07:11:44+00:00,-82.0,-76
Ned,Ollie,2,2026-03-13 05:45:48+00:00,2026-03-13 06:32:41+00:00,-34.0,-33
Lotus,Sophie,2,2026-03-12 15:53:37+00:00,2026-03-13 05:31:19+00:00,-50.0,-50
Annie,Craig,1,2026-03-11 07:11:51+00:00,2026-03-11 07:11:51+00:00,-58.0,-58
Aja,Craig,1,2026-03-12 21:33:35+00:00,2026-03-12 21:33:35+00:00,-64.0,-64
Aja,Izzy,1,2026-03-13 07:08:27+00:00,2026-03-13 07:08:27+00:00,-54.0,-54
Aja,Aymeric,1,2026-03-13 05:21:16+00:00,2026-03-13 05:21:16+00:00,-56.0,-56
Callan,Ollie,1,2024-10-18 00:35:03+00:00,2024-10-18 00:35:03+00:00,-61.0,-61
Annie,Robbie,1,2025-10-29 17:05:43+00:00,2025-10-29 17:05:43+00:00,-57.0,-57
Aymeric,Sophie,1,2026-03-13 05:41:58+00:00,2026-03-13 05:41:58+00:00,-50.0,-50
Blaise,Izzy,1,2026-03-13 02:58:25+00:00,2026-03-13 02:58:25+00:00,-66.0,-66
Aymeric,Kaelah,1,2026-03-13 05:41:58+00:00,2026-03-13 05:41:58+00:00,-54.0,-54
Callan,Lotus,1,2024-04-20 23:23:12+00:00,2024-04-20 23:23:12+00:00,-28.0,-28
Callan,Izzy,1,2024-04-09 03:58:14+00:00,2024-04-09 03:58:14+00:00,-34.0,-34
Cameron,Hannah,1,2026-03-14 03:41:22+00:00,2026-03-14 03:41:22+00:00,-73.0,-73
Craig,Ollie,1,2026-03-13 05:53:40+00:00,2026-03-13 05:53:40+00:00,-58.0,-58
Craig,Ned,1,2026-03-12 18:13:33+00:00,2026-03-12 18:13:33+00:00,-68.0,-68
Craig,Lotus,1,2026-03-13 06:13:41+00:00,2026-03-13 06:13:41+00:00,-55.0,-55
Craig,Immy,1,2025-01-24 10:13:18+00:00,2025-01-24 10:13:18+00:00,-82.0,-82
Craig,Georgia,1,2026-03-13 06:33:41+00:00,2026-03-13 06:33:41+00:00,-59.0,-59
Georgia,Izzy,1,2026-03-13 06:08:27+00:00,2026-03-13 06:08:27+00:00,-55.0,-55
Emily,Immy,1,2025-01-27 12:55:46+00:00,2025-01-27 12:55:46+00:00,-71.0,-71
Immy,Ned,1,2025-02-04 22:14:01+00:00,2025-02-04 22:14:01+00:00,-62.0,-62
Izzy,James,1,2025-04-16 07:07:03+00:00,2025-04-16 07:07:03+00:00,-82.0,-82
Immy,Olivia,1,2024-12-12 00:28:58+00:00,2024-12-12 00:28:58+00:00,-93.0,-93
Hannah,Sophie,1,2026-03-13 18:41:23+00:00,2026-03-13 18:41:23+00:00,-83.0,-83
James,Pippah,1,2024-05-03 15:21:30+00:00,2024-05-03 15:21:30+00:00,-89.0,-89
James,Lotus,1,2024-04-22 23:39:18+00:00,2024-04-22 23:39:18+00:00,-84.0,-84
Miles,Ned,1,2025-02-07 01:41:35+00:00,2025-02-07 01:41:35+00:00,-55.0,-55
Robbie,Shinny,1,2025-11-17 06:59:33+00:00,2025-11-17 06:59:33+00:00,-59.0,-59
Shinny,ShooShoo,1,2025-11-17 05:22:40+00:00,2025-11-17 05:22:40+00:00,-32.0,-32
