koala,date,daily_dist_m,daily_dist_km
Aaliyah,2022-05-25,135.157877081575,0.135157877081575
Aaliyah,2022-05-26,433.45749572699145,0.43345749572699144
Aaliyah,2022-05-27,368.1162821933267,0.3681162821933267
Aaliyah,2022-05-28,117.14950591773558,0.11714950591773558
Aaliyah,2022-05-29,51.30881685246594,0.05130881685246594
Aaliyah,2022-05-30,149.39567044430086,0.14939567044430085
Aaliyah,2022-05-31,126.33809706316423,0.12633809706316423
Aaliyah,2022-06-01,132.2905638434884,0.1322905638434884
Aaliyah,2022-06-02,198.6545525489817,0.1986545525489817
Aaliyah,2022-06-03,108.13465529586999,0.10813465529586999
Aaliyah,2022-06-04,89.65149981578809,0.08965149981578809
Aaliyah,2022-06-05,120.14397149618507,0.12014397149618507
Aaliyah,2022-06-06,267.5854671709185,0.26758546717091847
Aaliyah,2022-06-07,169.29994328013254,0.16929994328013254
Aaliyah,2022-06-08,222.68851052620016,0.22268851052620017
Aaliyah,2022-06-09,185.84519614252673,0.18584519614252673
Aaliyah,2022-06-10,181.71521194015045,0.18171521194015045
Aaliyah,2022-06-11,164.93849981819827,0.16493849981819828
Aaliyah,2022-06-12,385.9759304831052,0.3859759304831052
Aaliyah,2022-06-13,239.1970431230801,0.2391970431230801
Aaliyah,2022-06-14,165.86200892552912,0.16586200892552913
Aaliyah,2022-06-15,84.21974594565083,0.08421974594565083
Aaliyah,2022-06-16,115.9270384592217,0.11592703845922171
Aaliyah,2022-06-17,631.8225442547317,0.6318225442547317
Aaliyah,2022-06-18,187.38064523169032,0.18738064523169032
Aaliyah,2022-06-19,161.12591791500282,0.1611259179150028
Aaliyah,2022-06-20,236.11553899387744,0.23611553899387744
Aaliyah,2022-06-21,142.2185925911421,0.1422185925911421
Aaliyah,2022-06-22,126.45841268284802,0.12645841268284802
Aaliyah,2022-06-23,414.94867158975705,0.41494867158975707
Aaliyah,2022-06-24,257.5625712356718,0.2575625712356718
Aaliyah,2022-06-25,261.33143764146087,0.2613314376414609
Aaliyah,2022-06-26,125.24232076316294,0.12524232076316294
Aaliyah,2022-06-27,361.31694563801176,0.36131694563801176
Aaliyah,2022-06-28,143.75582737488196,0.14375582737488196
Aaliyah,2022-06-29,484.33379447322983,0.48433379447322983
Aaliyah,2022-06-30,312.8925909403006,0.3128925909403006
Aaliyah,2022-07-01,273.3685878578386,0.2733685878578386
Aaliyah,2022-07-02,362.0250581291064,0.3620250581291064
Aaliyah,2022-07-03,253.424863998075,0.253424863998075
Aaliyah,2022-07-04,283.88189692907173,0.28388189692907173
Aaliyah,2022-07-05,563.493974738799,0.563493974738799
Aaliyah,2022-07-06,541.5421548335241,0.5415421548335242
Aaliyah,2022-07-07,380.3603704910068,0.3803603704910068
Aaliyah,2022-07-08,281.4012938267455,0.28140129382674545
Aaliyah,2022-07-09,507.3358223072395,0.5073358223072395
Aaliyah,2022-07-10,399.581531474191,0.399581531474191
Aaliyah,2022-07-11,220.72293679902214,0.22072293679902213
Aaliyah,2022-07-12,360.3275734238064,0.36032757342380645
Aaliyah,2022-07-13,589.5382627236154,0.5895382627236154
Aaliyah,2022-07-14,394.63037245507763,0.39463037245507765
Aaliyah,2022-07-15,302.42482139212643,0.30242482139212645
Aaliyah,2022-07-16,672.7569613594274,0.6727569613594273
Aaliyah,2022-07-17,177.1340943268634,0.1771340943268634
Aaliyah,2022-07-18,394.5765797731707,0.3945765797731707
Aaliyah,2022-07-19,150.2442149756328,0.15024421497563278
Aaliyah,2022-07-20,156.03960873483678,0.15603960873483677
Aaliyah,2022-07-21,164.27404762656286,0.16427404762656286
Aaliyah,2022-07-22,246.1684749761164,0.2461684749761164
Aaliyah,2022-07-23,562.4627859153063,0.5624627859153063
Aaliyah,2022-07-24,407.15317691734117,0.40715317691734115
Aaliyah,2022-07-25,338.6606090983628,0.33866060909836276
Aaliyah,2022-07-26,2916.9276123665363,2.9169276123665364
Aaliyah,2022-07-27,555.7533796870669,0.5557533796870668
Aaliyah,2022-07-28,317.5908869701698,0.3175908869701698
Aaliyah,2022-07-29,181.82583670847916,0.18182583670847915
Aaliyah,2022-07-30,335.66877578960276,0.33566877578960275
Aaliyah,2022-07-31,247.99499838494899,0.24799499838494898
Aaliyah,2022-08-01,144.07952754062208,0.1440795275406221
Aaliyah,2022-08-02,311.65483081250494,0.31165483081250495
Aaliyah,2022-08-03,273.1991338802317,0.2731991338802317
Aaliyah,2022-08-04,196.16511191548122,0.19616511191548122
Aaliyah,2022-08-05,216.68637500154762,0.2166863750015476
Aaliyah,2022-08-06,183.50310738994955,0.18350310738994954
Aaliyah,2022-08-07,232.41374354003935,0.23241374354003935
Aaliyah,2022-08-08,260.81847073688755,0.2608184707368876
Aaliyah,2022-08-09,250.1847243503548,0.2501847243503548
Aaliyah,2022-08-10,394.999106320163,0.394999106320163
Aaliyah,2022-08-11,382.52276802148293,0.38252276802148294
Aaliyah,2022-08-12,607.5242381891007,0.6075242381891007
Aaliyah,2022-08-13,87.730515848208,0.087730515848208
Aaliyah,2022-08-14,146.5747006864842,0.1465747006864842
Aaliyah,2022-08-15,403.9720458302103,0.4039720458302103
Aaliyah,2022-08-16,136.3174518286412,0.1363174518286412
Aaliyah,2022-08-17,482.21271974278665,0.4822127197427866
Aaliyah,2022-08-18,452.35593593732904,0.45235593593732903
Aaliyah,2022-08-19,204.134909352664,0.204134909352664
Aaliyah,2022-08-20,301.96888429625585,0.30196888429625585
Aaliyah,2022-08-21,273.3658506654667,0.2733658506654667
Aaliyah,2022-08-22,254.2518509876484,0.2542518509876484
Aaliyah,2022-08-23,418.38264485710016,0.41838264485710014
